num-db,db,tx-type,count,duration-ms,tx-per-sec
30,15,write,507,63971.79,7.9254
30,16,strong-read,3072,63973.57,48.0198
30,16,weak-read,1536,63973.57,24.0099
30,16,write,512,63973.57,8.0033
30,17,strong-read,3018,64062.41,47.1103
30,17,weak-read,1509,64062.41,23.5552
30,17,write,503,64062.41,7.8517
30,18,strong-read,3012,64178.15,46.9319
30,18,weak-read,1506,64178.15,23.4659
30,18,write,502,64178.15,7.8220
30,19,strong-read,3042,64173.34,47.4029
30,19,weak-read,1521,64173.34,23.7014
30,19,write,507,64173.34,7.9005
30,20,strong-read,3186,64201.19,49.6252
30,20,weak-read,1593,64201.19,24.8126
30,20,write,531,64201.19,8.2709
30,21,strong-read,3000,64335.95,46.6302
30,21,weak-read,1500,64335.95,23.3151
30,21,write,500,64335.95,7.7717
30,22,strong-read,2940,64400.88,45.6516
30,22,weak-read,1470,64400.88,22.8258
30,22,write,490,64400.88,7.6086
30,23,strong-read,2994,64444.96,46.4583
30,23,weak-read,1497,64444.96,23.2291
30,23,write,499,64444.96,7.7430
30,24,strong-read,2940,64456.10,45.6124
30,24,weak-read,1470,64456.10,22.8062
30,24,write,490,64456.10,7.6021
30,25,strong-read,3042,64703.30,47.0146
30,25,weak-read,1521,64703.30,23.5073
30,25,write,507,64703.30,7.8358
30,26,strong-read,3042,64738.25,46.9892
30,26,weak-read,1521,64738.25,23.4946
30,26,write,507,64738.25,7.8315
30,27,strong-read,3000,64773.77,46.3150
30,27,weak-read,1500,64773.77,23.1575
30,27,write,500,64773.77,7.7192
30,28,strong-read,3048,64866.61,46.9887
30,28,weak-read,1524,64866.61,23.4944
30,28,write,508,64866.61,7.8315
30,29,strong-read,3072,64884.54,47.3456
30,29,weak-read,1536,64884.54,23.6728
30,29,write,512,64884.54,7.8909
35,0,strong-read,2844,60974.26,46.6426
35,0,weak-read,1422,60974.26,23.3213
35,0,write,474,60974.26,7.7738
35,1,strong-read,2868,61035.26,46.9892
35,1,weak-read,1434,61035.26,23.4946
35,1,write,478,61035.26,7.8315
35,2,strong-read,2826,61070.81,46.2742
35,2,weak-read,1413,61070.81,23.1371
35,2,write,471,61070.81,7.7124
35,3,strong-read,2826,61113.14,46.2421
35,3,weak-read,1413,61113.14,23.1210
35,3,write,471,61113.14,7.7070
35,4,strong-read,2772,61103.48,45.3657
35,4,weak-read,1386,61103.48,22.6828
35,4,write,462,61103.48,7.5609
35,5,strong-read,2808,61200.57,45.8819
35,5,weak-read,1404,61200.57,22.9410
35,5,write,468,61200.57,7.6470
35,6,strong-read,2724,61187.84,44.5187
35,6,weak-read,1362,61187.84,22.2593
35,6,write,454,61187.84,7.4198
35,7,strong-read,2982,61244.43,48.6901
35,7,weak-read,1491,61244.43,24.3451
35,7,write,497,61244.43,8.1150
35,8,strong-read,2964,61278.42,48.3694
35,8,weak-read,1482,61278.42,24.1847
35,8,write,494,61278.42,8.0616
